,Навание блюда,Состав,Ингредиенты,Картинка
145,Безалкогольный глинтвейн из виноградного сока,"Безалкогольный глинтвейн из виноградного сока - это ароматный и насыщенный по вкусу напиток. Сок дополняется дольками яблока, апельсина и лимона, а для сладковатой нотки используется мёд. Насыщенность глинтвейна обеспечивают традиционные для этого напитка пряности - корица, бадьян, имбирь и гвоздика.сок виноградный, яблоко, апельсин, лимон, мёд, корица, гвоздика, бадьян, имбирь","сок виноградный, яблоко, апельсин, лимон, мёд, корица, гвоздика, бадьян, имбирь",https://img1.russianfood.com/dycontent/images_upl/573/sm_572943.jpg
146,"Сливочный ликер "" А-ля Бейлиз""","Этот незамысловатый и очень вкусный напиток очень похож на оригинал магазинного сливочного ликера ""Бейлиз"". Насыщенность сливочного ликера вы можете регулировать по своему вкусу, уменьшая или увеличивая количество жидкости.молоко сгущенное, водка, кофе молотый, кофе растворимый, вода минеральная, желток, сахар ванильный","молоко сгущенное, водка, кофе молотый, кофе растворимый, вода минеральная, желток, сахар ванильный",https://img1.russianfood.com/dycontent/images_upl/9/sm_8306.jpg
147,Коктейль Коньячно-Кофейный Кулер (Coffee Cognac Cooler),"Напиток этот беззастенчиво декадентский. И создан он явно не для тех, кого заботит количество калорий. Рецепт рассчитан на две порции, так что чувство вины разделите на двоих.кофе, коньяк, ликер кофейный, сливки, сахар, мороженое кофейное","кофе, коньяк, ликер кофейный, сливки, сахар, мороженое кофейное",https://img1.russianfood.com/dycontent/images_upl/2/sm_1904.jpg
148,Молочный кисель с какао,"Густой и ароматный напиток, похожий по вкусу на горячий шоколад - молочный кисель с какао. Такой сладкий напиток с насыщенным шоколадным вкусом - отличный вариант бюджетного лакомства.молоко, какао-порошок, крахмал кукурузный, сахар","молоко, какао-порошок, крахмал кукурузный, сахар",https://img1.russianfood.com/dycontent/images_upl/509/sm_508943.jpg
149,Фруктово-йогуртный коктейль (смузи),"Смесь разных фруктов, йогурта и меда очень хороша для поднятия иммунитета. Такой напиток не только удивительно полезный, но и потрясающе вкусный. Если использовать замороженную клубнику, смузи получится гуще.клубника, арбуз, дыня, банан, йогурт клубничный, сок апельсиновый, мёд","клубника, арбуз, дыня, банан, йогурт клубничный, сок апельсиновый, мёд",https://img1.russianfood.com/dycontent/images_upl/3/sm_2950.jpg
150,Коктейль «Georgia and Ginger» («Джорджия и имбирь»),"Персиковый коктейль получил свое название в честь американского штата Джорджия, который славится своими персиками. Напиток готовится с добавлением ароматных пряностей — корицы и имбиря.персик консервированный, кофе, сливки, сахар коричневый, корица молотая, имбирь молотый","персик консервированный, кофе, сливки, сахар коричневый, корица молотая, имбирь молотый",https://img1.russianfood.com/dycontent/images_upl/5/sm_4017.jpg
151,Смузи,"Хоть и не лето, а полакомиться смузи всегда приятно. Предлагаю смузи из ""зимних"" фруктов. А состав вы можете корректировать по собственному желанию.апельсин, банан, грейпфрут","апельсин, банан, грейпфрут",https://img1.russianfood.com/dycontent/images_upl/28/sm_27102.jpg
152,Булочки с вишней и белым шоколадно-миндальным кремом,"В сезон вишни предлагаю приготовить дрожжевые булочки со свежей вишней и шоколадно-миндальным кремом. Тесто - мягкое, в меру сладкое, очень хорошо поднимается за короткое время и настолько легко формуется, что с лепкой ""конвертиков"" справится даже ребенок. Булочки получаются аппетитными, воздушными, с приятным ванильно-миндальным ароматом и просто нереальным вкусом!молоко, масло сливочное, яйца, сахар, мука, дрожжи, сахар ванильный, соль, масло растительное, вишня, молоко, желток, шоколад белый, миндальные хлопья, крахмал кукурузный","молоко, масло сливочное, яйца, сахар, мука, дрожжи, сахар ванильный, соль, масло растительное, вишня, молоко, желток, шоколад белый, миндальные хлопья, крахмал кукурузный",https://img1.russianfood.com/dycontent/images_upl/527/sm_526374.jpg
153,Яблочный глинтвейн из белого вина,"Сочетание компонентов в глинтвейне - просто идеальное. Свежий аромат лимона и яблока дополняют тёплые терпковатые нотки корицы, гвоздики и чёрного перца. А дольки лимона и кубики яблок очень хорошо смотрятся в прозрачном белом вине. Яблочный глинтвейн на белом вине согреет в холодное время года, когда очень хочется тепла, поднимет настроение в новогодние праздники и рождественские вечера.вино белое полусладкое, яблоко, сахар, корица молотая, гвоздика, перец чёрный горошком, лимон, корица","вино белое полусладкое, яблоко, сахар, корица молотая, гвоздика, перец чёрный горошком, лимон, корица",https://img1.russianfood.com/dycontent/images_upl/567/sm_566658.jpg
154,"Смузи с гречкой, бананом, орехами и мёдом","Сытный и нежный смузи-каша из гречки с грецкими орехами, бананами и корицей. :)молоко, вода, крупа гречневая, банан, орех грецкий, мёд, корица молотая","молоко, вода, крупа гречневая, банан, орех грецкий, мёд, корица молотая",https://img1.russianfood.com/dycontent/images_upl/539/sm_538463.jpg
155,Классический кофе по-венски,"Кофе по-венски не потребует от вас особенных навыков или усилий. Готовится напиток очень просто и продукты доступные.кофе молотый, сливки, сахар, вода","кофе молотый, сливки, сахар, вода",https://img1.russianfood.com/dycontent/images_upl/601/sm_600285.jpg
156,Коктейль Том и Джерри (Tom and Jerry),"Этот горячий пунш с пряностями, один из старейших коктейлей с полуторавековой историей, был создан в 1850-х годах легендарным Джерри Томасом, которого многие считают «отцом» коктейлей. Он систематизировал рецепты и выпустил первый сборник рецептур для барменов. «Том и Джери», напоминающий Эг-Ног, – напиток для холодной погоды. Говорят, Джерри Томас не подавал его, пока не выпадет первый снег...яйца, пудра сахарная, сода, ром, корица, гвоздика, перец душистый молотый, ром, бренди, молоко","яйца, пудра сахарная, сода, ром, корица, гвоздика, перец душистый молотый, ром, бренди, молоко",https://img1.russianfood.com/dycontent/images_upl/2/sm_1143.jpg
157,Кофе по-турецки,"Предлагаю рецепт приготовления кофе по-турецки с нежной пенкой из яичного желтка. Удивительный и неповторимый напиток внесет изысканную нотку в повседневную жизнь.кофе молотый, вода, пудра сахарная, желток, конфеты шоколадные, орех кешью","кофе молотый, вода, пудра сахарная, желток, конфеты шоколадные, орех кешью",https://img1.russianfood.com/dycontent/images_upl/180/sm_179014.jpg
158,Горячий белый шоколад,"Рецепт приготовления белого шоколада с апельсиновым ликером — новый взгляд на горячий шоколад. Благодаря этому рецепту четыре человека смогут согреться и улучшить настроение.молоко, шоколад белый, кофе молотый, ликер апельсиновый, сливки взбитые, корица молотая","молоко, шоколад белый, кофе молотый, ликер апельсиновый, сливки взбитые, корица молотая",https://img1.russianfood.com/dycontent/images_upl/3/sm_2619.jpg
159,Сангрия,"Сангрия – рецепт самого популярного испанского коктейля для вечеринок.вино красное, сок яблочный, апельсин, мандарин, киви, банан, виноград черный, корица","вино красное, сок яблочный, апельсин, мандарин, киви, банан, виноград черный, корица",https://img1.russianfood.com/dycontent/images_upl/17/sm_16171.jpg
160,Летний абрикосовый смузи,"Когда хочется чего-нибудь освежающего...абрикос, яблоко, банан, йогурт натуральный, кефир, мёд, лед","абрикос, яблоко, банан, йогурт натуральный, кефир, мёд, лед",https://img1.russianfood.com/dycontent/images_upl/44/sm_43411.jpg
161,"Целые груши, консервированные в сиропе","Целые груши в сиропе - консервация, которая незаслуженно недооценена хозяйками. На самом деле это интересный и совершенно натуральный домашний десерт, которым можно удивить зимой. Такие груши можно подать как самостоятельное блюдо, а также использовать для приготовления выпечки.груша, вода, сахар, лимонная кислота","груша, вода, сахар, лимонная кислота",https://img1.russianfood.com/dycontent/images_upl/531/sm_530188.jpg
162,Ягодный коктейль,"Ягодные коктейли - одно из самых полезных и вкусных лакомств, которыми можно наслаждаться круглый год. И никакого кипячения - рецепты для блендера помогут сохранить максимум витаминов.сок гранатовый, йогурт ванильный, ягодная смесь","сок гранатовый, йогурт ванильный, ягодная смесь",https://img1.russianfood.com/dycontent/images_upl/42/sm_41924.jpg
163,Фруктовый смузи с имбирем,"Смузи с апельсинами, киви, яблоком и имбирем - очень вкусный диетический напиток, так как имбирь является отличным жиросжигателем.яблоко, апельсин, киви, молоко, корень имбиря, сок лимона","яблоко, апельсин, киви, молоко, корень имбиря, сок лимона",https://img1.russianfood.com/dycontent/images_upl/127/sm_126613.jpg
164,"Суп с фасолью, копчёной грудинкой и томатным соком","Простой и быстрый в приготовлении суп с копчёной грудинкой и консервированной фасолью, который готовится на основе томатного сока. Суп получается сытным за счет фасоли, с приятным подкопченным вкусом обжаренной грудинки и ароматом сушёных трав. Очень вкусно подавать такой суп с любыми сухариками.фасоль консервированная, грудинка копченая, чеснок, базилик, орегано, кориандр, соль, перец чёрный молотый, зелень петрушки, сухарики, сок томатный","фасоль консервированная, грудинка копченая, чеснок, базилик, орегано, кориандр, соль, перец чёрный молотый, зелень петрушки, сухарики, сок томатный",https://img1.russianfood.com/dycontent/images_upl/595/sm_594335.jpg
165,Холодный венский кофе с шоколадом (из растворимого кофе)НОВЫЙ,"Из растворимого кофе и жирных сливок можно приготовить вот такой освежающий летний десерт.кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная","кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/601/sm_600257.jpg
166,"Холодный кофе по-венски, с цедрой и корицейНОВЫЙ","Для приготовления пряного холодного кофе не обязательно использовать дорогостоящие добавки типа ликёров. Достаточно подать кофе со сливками и присыпать их корицей и апельсиновой цедрой.кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая","кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая",https://img1.russianfood.com/dycontent/images_upl/601/sm_600333.jpg
