,Навание блюда,Состав,Картинка
125,"Тыква, запечённая с сыром, в беконе","Оригинальная закуска на скорую руку всего из четырёх ингредиентов. Красочные ломтики тыквы слегка поджариваются, а затем запекаются с беконом и сыром. Лёгкая сладость тыквы удачно оттеняет солоноватый вкус сыра и ароматного бекона. За несколько минут получается яркая и необычная закуска. Попробуйте!тыква, сыр твёрдый, бекон, масло растительное",https://img1.russianfood.com/dycontent/images_upl/457/sm_456590.jpg
126,Каппельский молочный суп,"Каппельский молочный суп - блюдо с историей, а точнее, часть истории Швейцарии. В этой стране даже установлен монумент в память о событии, когда в городке Каппель в 1539 году солдатами двух противоборствующих армий был приготовлен суп из молока и хлеба, ставший символом их примирения... Этот рецепт - вариация на тему каппельского супа - молочный суп с хлебом, жареным луком, пряностями, сыром и зеленью.молоко, бульон, хлеб, лук репчатый, чеснок, масло сливочное, семена тмина, гвоздика, лавровый лист, перец чёрный молотый, соль, сыр твёрдый, лук зелёный...",https://img1.russianfood.com/dycontent/images_upl/530/sm_529135.jpg
127,Омлетные рулетики с паштетом,"Фаршированные яйца на новый лад - омлетные рулетики с паштетом. Такие рулетики готовятся просто, быстро, из минимального количества продуктов и одинаково хороши как на завтрак, так и в качестве незатейливой закуски для приёма неожиданных гостей. Вкусно и недорого!яйца, паштет печеночный, паприка молотая, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/588/sm_587772.jpg
128,Макароны с творогом (на сковороде),"Необычный вариант привычного блюда – макароны как с сыром... но без сыра! В основе макарон с творогом всего три ингредиента, но благодаря интересному способу приготовления блюдо получается по вкусу и текстуре и правда очень похожим на макароны с сыром. Такие макароны готовятся в одной сковороде – получается просто, быстро и бюджетно!макароны, творог, соль, зелень укропа, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/548/sm_547534.jpg
129,Мясной рулет с рисом и яйцами,"Рулет из мясного фарша с рисом и начинкой из варёных яиц, запечённый в фольге в духовке, - блюдо не только очень вкусное, но и весьма эффектное в подаче! Такой мясной ""батон"" можно смело подавать на праздничный стол и особенно уместно он впишется в пасхальное меню. Оригинально и вполне бюджетно!фарш мясной, рис, яйца, лук репчатый, зелень петрушки, порошок чесночный, паприка молотая, кориандр, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/500/sm_499195.jpg
130,Запеканка из куриной печени с помидором и яблоком,"Запеканка по этому рецепту готовится из куриной печени, обжаренной с помидорами и яблоком, и яичной заливки. Блюдо получается очень нежным и довольно сытным – любителям куриной печени обязательно понравится.печень куриная, помидоры, яблоко, яйца, масло растительное, соль, перец чёрный молотый, зелень, вода",https://img1.russianfood.com/dycontent/images_upl/421/sm_420972.jpg
131,Пирог из лаваша с творогом и сыром (на сковороде),"Вкуснейшая выпечка без духовки - это вполне реально. Пирог, приготовленный на сковороде, получается ничем не хуже испечённого в духовке. Понадобится лишь тонкий лаваш, много творога и немного сыра. Чтобы пирог из лаваша получился нежным и мягким, добавим к творожной начинке кефир, а также используем яичную заливку.лаваш, творог, сыр твёрдый, яйца, кефир, сахар, соль, масло сливочное, масло растительное",https://img1.russianfood.com/dycontent/images_upl/574/sm_573782.jpg
132,Салат из капусты с орехами и лапшой быстрого приготовления,"Хрустящий салат с довольно необычным сочетанием ингредиентов – ""студенческий"" салат из капусты с орехами и лапшой быстрого приготовления. Такой салат примечателен тем, что лапша для него не запаривается, а добавляется в сухом виде. Арахис добавляет салату сытности, а пикантную нотку придаст зелёный лук. Получается странно, но очень вкусно.капуста белокочанная, лапша, арахис, лук зелёный, кунжут, масло растительное, сахар, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/557/sm_556851.jpg
133,Салат из солёных огурцов и лука,"Простой салат из солёных огурцов и репчатого лука – универсальная закуска, которую можно приготовить всего за 10 минут. Такой бюджетный, вкусный и хрустящий салатик – удачнейшее дополнение к жареной картошке или мясу.огурцы солёные, лук репчатый, масло подсолнечное, сахар, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/586/sm_585366.jpg
134,Двухслойный омлет с консервированной кукурузой,"Омлет, как и яичница, - рекордсмен среди завтраков! Но простой омлет ни в какое сравнение не пойдёт с двухслойным омлетом, в виде рулета с начинкой. Сегодня в качестве начинки используем консервированную кукурузу. Получится яркое, сытное и очень вкусное блюдо из минимального набора продуктов!яйца, кукуруза консервированная, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/584/sm_583535.jpg
135,"Конвертики из лаваша с гречкой, грибами и луком","Румяные конвертики из лаваша с гречкой и грибами станут отличным завтраком или перекусом. Такую закуску очень удобно брать с собой на работу или пикник.лаваш, крупа гречневая, вешенки свежие, лук репчатый, соус соевый, масло растительное, зелень петрушки",https://img1.russianfood.com/dycontent/images_upl/384/sm_383559.jpg
136,Вареники с вишней и творогом,"Чаще готовят вареники либо с творогом, либо только с вишней. В этот раз совместим два этих отличных варианта. Яркость вкуса вишни смягчится нежным творогом в начинке. Процесс приготовления вполне привычный, а вкус вареников с творогом и вишней будет и новым, и знакомым одновременно. Это интересно и вкусно!мука, вода, соль, вишня, творог, желток, сахар",https://img1.russianfood.com/dycontent/images_upl/519/sm_518218.jpg
137,Картофельное пюре со сметаной,"Картофельное пюре со сметаной и сливочным маслом имеет более выраженный вкус в отличие от пюре с молоком или сливками. В нём присутствует лёгкая, еле уловимая кислинка, которая ни в коем случае не портит блюдо, а наоборот - делает его вкус интереснее. Бюджетный и очень вкусный гарнир!картофель, сметана, масло сливочное, соль",https://img1.russianfood.com/dycontent/images_upl/487/sm_486875.jpg
138,Фаршированный картофель,"Запеченный картофель, фаршированный курицей и перцем, можно подать на праздничный стол или на обед, ужин. Очень вкусно, полезно, необычно и красиво.картофель, куриная грудка, лук репчатый, перец болгарский красный, сыр твёрдый, зелень петрушки, чеснок, масло сливочное, масло растительное, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/224/sm_223773.jpg
139,Закусочные слойки с печёночным паштетом и сыром,"Мегабыстрые закусочные слойки с печёночным паштетом и сыром! Тесто будем использовать готовое слоёное, с приготовлением начинки тоже заморачиваться не придётся - отлично подойдёт любой магазинный паштет. Слоечки получаются очень вкусными, подойдут и для перекуса с чаем или кофе, и на замену хлебу к первым блюдам!тесто слоеное, паштет печеночный, сыр твёрдый, яйца, мука пшеничная",https://img1.russianfood.com/dycontent/images_upl/419/sm_418158.jpg
140,Горячие бутерброды с сосисками и сыром (на сковороде),"Замечательный рецепт невероятно простых и быстрых горячих бутербродов без духовки - на сковороде. Сосиски и сыр на румяных и поджаристых греночках - как раз то, что нужно для плотного и сверхсытного завтрака или перекуса, который можно взять с собой на работу или дать ребёнку в школу.сосиски, хлеб белый, сыр твёрдый, яйца, сметана, зелень укропа, соль, масло растительное, тимьян (чабрец, богородская трава)",https://img1.russianfood.com/dycontent/images_upl/363/sm_362008.jpg
141,"Бутерброды с творогом, яйцами и зеленью","Вкусная весенняя закуска из простых ингредиентов - бутерброды с творогом, яйцами и зеленью. Основа из творога и варёных яиц отлично дополняется большим количеством петрушки и ароматной черемши. Получается сочно, вкусно и сытно. Стоит попробовать!хлеб, творог, яйца, черемша, зелень петрушки, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/593/sm_592091.jpg
142,Фаршированные бутерброды с консервированной рыбой и варёными яйцами,"Простой рецепт фаршированных бутербродов с консервированной рыбой и варёными яйцами - для завтрака и не только. Обычно, чтобы начинка хорошо держалась внутри таких бутербродиков, в неё добавляют сливочное масло или плавленый сыр. Но тут они не понадобятся - и всё благодаря небольшой хитрости. Три основных ингредиента, несложное приготовление и симпатичный вид - прекрасный вариант вполне бюджетной закуски!хлеб, рыба консервированная, яйца, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/596/sm_595815.jpg
143,Рулет из лаваша с капустой  и сыром (в духовке),"Рулет из лаваша с капустой и сыром - простой домашний рецепт вкусного и лёгкого в приготовлении блюда для завтрака или перекуса. Рулет запекается в духовке, лаваш становится хрустящим, внутри расплавляется сыр, в сочетании с сочной тушёной капустой получается очень вкусно.капуста белокочанная, морковь, лук репчатый, томат-паста, сыр моцарелла, лаваш, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/327/sm_326455.jpg
144,"Кабачки, тушенные с морковью на сковороде","Лёгкое овощное блюдо - кабачки, тушенные с морковью и зеленью. Благодаря недолгому обжариванию в сковороде, овощи остаются приятно хрустящими. Попробуйте - вам понравится!кабачки, морковь, зелень петрушки, зелень укропа, чеснок, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/523/sm_522045.jpg
145,"Блинная кутья с маком, изюмом и орехами","Классический вариант кутьи готовится из зёрен пшеницы или ячменя. Вместо пшеничных зёрнышек используем румяные вкусные блинчики. Необычная кутья из блинов с маком, изюмом и орехами - прекрасный способ порадовать гостей за рождественским столом угощением с новым вкусом! Такой оригинальный десерт улетит за считанные минуты.мак, изюм, орех грецкий, мёд, цедра апельсиновая, молоко, вода, яйца, мука, масло растительное, соль",https://img1.russianfood.com/dycontent/images_upl/571/sm_570546.jpg
146,"Картошка, жаренная с куриным филе в пергаменте","Рецепт ""два в одном"" - куриная грудка, приготовленная вместе с картошкой в пергаменте на сковороде. Куриное филе получается нежным, сочным, совершенно не сухим. А натёртый картофель с пряностями аппетитно прижаривается. И всё это - при минимальном использовании масла!картофель, куриное филе, куркума молотая, паприка молотая, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/588/sm_587540.jpg
147,Фриттата с цуккини и спаржей,"Итальянский омлет ""фриттата"" всегда выгодно смотрится на столе.спаржа, перец болгарский желтый, лук репчатый, цуккини, яйца, сливки, молоко, петрушка, соль, перец чёрный молотый, сыр твёрдый",https://img1.russianfood.com/dycontent/images_upl/45/sm_44125.jpg
148,Грибной крамбл с овсяными хлопьями,"Оригинальное, бюджетное и очень вкусное блюдо, которое отлично подойдёт для постного стола - грибной крамбл с овсяными хлопьями. Совершенно удивительно, каким интересным становится вкус привычной овсянки и грибов, если приготовить их по той же технологии, по которой готовятся крамблы. Шампиньоны обжариваются с луком и затем запекаются под ""шапочкой"" из овсяных хлопьев - результат очень любопытный! Такой крамбл с овсяными хлопьями и грибами получается сочным, сытным, готовится достаточно быстро и невероятно просто!хлопья овсяные, масло растительное, укроп, соль, шампиньоны, лук репчатый, мука пшеничная, вода, соль, перец чёрный молотый, масло растительное, зелень укропа",https://img1.russianfood.com/dycontent/images_upl/462/sm_461410.jpg
149,Рис с овощами и яйцами (на сковороде),"Простое и вкусное блюдо - рис с овощами и яйцами. Ничего лишнего - отварной рис прекрасно дополняется вполне простыми овощами. Морковь, болгарский перец и помидор обеспечивают сочность, а яйца - питательность. Прекрасный гарнир или вполне самостоятельное блюдо!рис, яйца, помидоры, перец болгарский, морковь, паприка молотая, соль, масло растительное, лук зелёный",https://img1.russianfood.com/dycontent/images_upl/538/sm_537162.jpg
150,Бразильские сырные булочки,"Хочу познакомить вас с рецептом бразильских сырных булочек (pão de queijo), который меня покорил. Булочки получаются с привлекательной золотистой корочкой и имеют пикантный сырный вкус и аромат.крахмал кукурузный, сыр твёрдый, масло растительное, молоко, яйца, соль, мука",https://img1.russianfood.com/dycontent/images_upl/351/sm_350575.jpg
151,"Ленивые ""пирожки"" на кефире, с сыром и сардельками","Интересный рецепт ленивых ""пирожков"" на кефире, с сыром и сардельками. Такие небольшие несладкие лепёшки жарятся на сковороде, готовятся просто и достаточно быстро - неплохая альтернатива привычным бутербродам!сыр твёрдый, сардельки, мука пшеничная, кефир, сода, соль, масло растительное",https://img1.russianfood.com/dycontent/images_upl/410/sm_409510.jpg
152,"Закусочные шарики ""Оливье""","Необычная подача привычного блюда - закусочные шарики ""Оливье"". Такой вариант закуски в виде симпатичных шариков, напоминающих ёлочные игрушки, готовится довольно просто, а выглядит очень празднично. В основе - вполне доступные продукты, а получается очень вкусно и, главное, эффектно. Гости точно оценят!огурцы консервированные, колбаса вареная, яйца, картофель, морковь, горошек зелёный консервированный, майонез, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/565/sm_564973.jpg
153,Горячие бутерброды-трубочки с ветчиной и сыром,"Красивый и оригинальный завтрак или перекус - бутерброды-трубочки с начинкой из ветчины и расплавленного сыра, да ещё и в хрустящей сырной ""шубке""! Попробуйте приготовить такие аппетитные горячие бутерброды - это очень просто, да и времени много не отнимет.хлеб для тостов, ветчина, сыр твёрдый, сыр твёрдый, сухари панировочные, петрушка сухая, паприка молотая, чеснок, перец чёрный молотый, яйца, молоко, масло растительное",https://img1.russianfood.com/dycontent/images_upl/383/sm_382921.jpg
154,Котлетки из риса и консервированной рыбы,"Вкусные котлетки, приготовить которые очень легко. Сочетание продуктов настолько удачно, что сложно догадаться, что эти замечательные котлеты приготовлены всего лишь из рыбных консервов, отварного риса и обжаренного лука с морковкой.скумбрия, рис, морковь, лук репчатый, яйца, соль, перец чёрный молотый, масло растительное, лук зелёный",https://img1.russianfood.com/dycontent/images_upl/364/sm_363180.jpg
155,"Запеканка из вареников с капустой, в кефирно-яичной заливке","Готовые замороженные вареники можно не только отварить, но и взять за основу для приготовления необычной запеканки. Запеканка из вареников в кефирно-яичной заливке хоть и относится к ""ленивым"" блюдам, но получается очень вкусной!кефир, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное, крупа манная",https://img1.russianfood.com/dycontent/images_upl/396/sm_395314.jpg
156,Идеальные булочки для бургеров,"Высокие, воздушные и вкусные булочки, которые идеально подходят для домашних бургеров, гамбургеров или просто вприкуску с медом к чаю, можно вместо хлеба к первым блюдам. Приготовить совершенно не сложно, даже начинающий кулинар справится! Такие булочки получаются всегда, главное, не торопиться.мука, молоко, яйца, дрожжи сухие, сахар, соль, масло сливочное, яйца, молоко, кунжут",https://img1.russianfood.com/dycontent/images_upl/262/sm_261923.jpg
157,Заливные рулетики из ветчины с грибами и варёными яйцами,"Оригинальное и вполне бюджетное блюдо, которое не затеряется даже на праздничном столе - заливное с ветчиной, грибами и варёными яйцами. Рулетики из ветчины с сочной начинкой из обжаренных грибов и варёных яиц заливаются прозрачным бульоном с добавлением желатина. При застывании и разрезании на брусочки получается очень ""нарядная"" закуска. Такой рецепт эффектного и интересного блюда однозначно стоит взять на заметку!бульон куриный, ветчина, шампиньоны, яйца, майонез, чеснок, соль, перец чёрный молотый, желатин, масло растительное",https://img1.russianfood.com/dycontent/images_upl/503/sm_502355.jpg
158,Жареная вермишель с яйцом,"Простой и оригинальный вариант приготовления так любимого многими блюда - жареная вермишель с яйцом. Макароны с яйцом это уже хорошо, а если их предварительно пожарить - будет ещё вкуснее. Доступно, сытно и несложно!вермишель, яйца, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/554/sm_553852.jpg
159,"Рулетики из пекинской капусты, с творогом и огурцом","Несложная и очень вкусная закуска из минимума продуктов - хрустящие рулетики из пекинской капусты, с начинкой из творога, огурцов и зелени. Свежие хрустящие листья капусты, творог, зелень и мелко нарезанный свежий огурчик - сочетание простое и гармоничное. Закуска не калорийная, поэтому можно смело есть её не только на завтрак или обед, но и на ужин.капуста пекинская, творог, огурцы, зелень укропа, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/412/sm_411818.jpg
160,Яичница с колбасой и шампиньонами,"Яичница - самое популярное блюдо для завтрака, так как на её приготовление уходит минимум времени. Чтобы превратить скучную яичницу в сытное и интересное блюдо, можно включить в список ингредиентов грибы и колбасу - так яичница получится намного вкуснее!яйца, колбаса варено-копченая, шампиньоны, масло подсолнечное, травы сухие итальянские, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/578/sm_577679.jpg
161,"Капустные оладьи с сыром, из ржаной муки","Капустные оладьи с сыром - простое, быстрое и бюджетное блюдо из доступных продуктов на каждый день. Приготовить такие румяные оладушки из капусты совсем несложно. Если использовать ржаную муку вместо пшеничной, насыщенный капустный аромат и вкус таких оладий станет ещё интереснее.капуста белокочанная, мука ржаная, сыр твёрдый, яйца, зелень укропа, соль, масло растительное, кетчуп, сметана, майонез",https://img1.russianfood.com/dycontent/images_upl/382/sm_381870.jpg
162,Апельсиновые сырники,"Апельсиновые сырники - невероятно вкусное и красивое блюдо, которое отлично подходит к чаю, молоку и другим напиткам. В меру сладкие, с яркими нотками апельсина, эти ароматные сырники покорят ваши вкусовые рецепторы!творог, апельсин, мука пшеничная, сахар, яйца, соль, масло растительное",https://img1.russianfood.com/dycontent/images_upl/409/sm_408921.jpg
163,"Ватрушки с начинкой из творога, брынзы и зелени","Оригинальные ватрушки с начинкой из творога, брынзы и зелени – душевная домашняя несладкая выпечка. Благодаря необычной формовке посредством плетения края ватрушки выглядят красиво и напоминают солнышки. Дрожжевое тесто очень приятное в работе, в готовом виде изделия получаются мягенькими, прямо-таки воздушными!мука, дрожжи сухие, соль, сахар, молоко, яйца, масло растительное, творог, брынза, зелень, соль, белок, желток",https://img1.russianfood.com/dycontent/images_upl/415/sm_414452.jpg
164,"Яичница в лаваше, с колбасой, помидором и сыром","Простая и интересная яичница в симпатичной ""корзиночке"" из лаваша с вкусной начинкой. Колбаса, сочные помидоры и расплавленный сыр - всегда отличная компания для яичницы. Лаваш придаёт блюду красивую форму и необычный вид.яйца, лаваш, колбаса копченая, помидоры, сыр твёрдый, кетчуп, лук зелёный, масло растительное, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/364/sm_363049.jpg
165,Бургеры с интересными котлетами,"Интересные котлеты для таких бургеров готовятся с добавлением кураги и кедровых орешков, что делает вкус котлет более чем необычным.фарш говяжий, курага, орех кедровый, кинза, чеснок, соль, кумин, корица молотая, кориандр, перец чёрный молотый, булочка, листья салата, помидоры, масло, кетчуп...",https://img1.russianfood.com/dycontent/images_upl/45/sm_44733.jpg
166,Тушёные куриные шейки с луком,"Вкусное и сытное блюдо из той части курицы, на которую многие не обращают внимание, – куриных шеек! Куриные шейки сперва маринуются с пряностями, соевым соусом и яблочным уксусом, а затем обжариваются с луком и сметаной. Оригинально и бюджетно!куриная шейка, лук репчатый, чеснок, сметана, соус соевый, уксус яблочный, паприка молотая, перец чёрный молотый, соль, масло растительное",https://img1.russianfood.com/dycontent/images_upl/587/sm_586500.jpg
167,Быстрые лепёшки на кефире (на сковороде),"Сверхбыстрый, простой и недорогой вариант домашнего бездрожжевого хлеба - лепёшки на кефире, приготовленные на сковороде без масла. Всего четыре компонента, простой замес теста, никакого настаивания, несколько минут на приготовление - и пышная, пористая лепёшка с молочным ароматом и хрустящей корочкой уже на столе!мука пшеничная, кефир, соль, разрыхлитель, варенье, джем",https://img1.russianfood.com/dycontent/images_upl/374/sm_373790.jpg
168,Горячие бутерброды с воздушным омлетом (в духовке),"Оригинальный и очень вкусный завтрак - хрустящие тосты с нежным омлетом. Готовится омлет не совсем обычно, но довольно просто. К желткам добавляется соус из сметаны, молока и масла, а затем взбитые белки. Омлет, запеченный на тостах в духовке, получается исключительно воздушным.хлеб белый, яйца, сметана, молоко, масло сливочное, мука пшеничная, зелень укропа, зелень петрушки, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/389/sm_388685.jpg
169,"Ленивая ""ачма"" с творогом и зелёным луком","Простое, бюджетное блюдо из вполне доступных продуктов - ленивая ачма из лаваша, с творогом и зелёным луком. Вообще-то, классическая ачма - вид грузинского хачапури из нескольких слоёв теста с начинкой из сулугуни. Мы же приготовим ""ленивую"" ачму, используя многофункциональный тонкий лаваш, а для начинки смешаем творог, сметану и свежую зелень лука. И будет так же вкусно, вот увидите!лаваш, творог, сметана, кефир, лук зелёный, яйца, соль",https://img1.russianfood.com/dycontent/images_upl/430/sm_429538.jpg
170,Рулетики из лаваша с ветчиной и картофельным пюре,"Вкусные рулетики из лаваша с ветчиной и картофельным пюре готовятся очень просто. Такие рулетики - прекрасный сытный завтрак, обед или закуска для пикника.лаваш, картофель, молоко, ветчина, сыр твёрдый, зелень петрушки, зелень, соль, яйца, масло растительное",https://img1.russianfood.com/dycontent/images_upl/400/sm_399850.jpg
171,Морковное суфле,"Нежное морковное суфле покорит любителей этого корнеплода.морковь, яйца, сахар коричневый, молоко, корица молотая, сливки взбитые",https://img1.russianfood.com/dycontent/images_upl/45/sm_44528.jpg
172,"Кукурузная каша, запечённая с сыром и вялеными томатами","Кукурузная каша — вторая каша в мире по распространенности после риса. У нас её готовят не так часто, хотя итальянская полента, например, известна во всём мире. Предлагаю приготовить поленту с сыром и вялеными томатами в виде запеканки. Такое блюдо очень вкусное не только сразу из духовки, но и на следующий день в холодном виде.крупа кукурузная, помидоры вяленые, чеснок, масло сливочное, сыр твёрдый, зелень петрушки, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/551/sm_550290.jpg
173,"Яичный рулет с колбасой, помидорами и зеленью","Простой и вкусный яичный рулет с колбасой, помидорами и зеленью выглядит очень оригинально и привлекательно. Такой яркий и сытный яичный рулет станет отличной альтернативой обычному омлету и прекрасно подойдёт для завтрака или перекуса.яйца, помидоры, колбаса вареная, зелень петрушки, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/365/sm_364795.jpg
174,"Заливной пирог на кефире, с сосисками и сыром","Хотите приготовить вкусный пирог, не затрачивая много времени и сил? Тогда этот рецепт для вас! Кефирное тесто для пирога готовится максимально быстро и просто, а в качестве начинки используются сосиски и сыр.сосиски, сыр твёрдый, мука, кефир, яйца, разрыхлитель, соль, масло растительное",https://img1.russianfood.com/dycontent/images_upl/396/sm_395397.jpg
175,Тарталетки из лаваша с яйцом и шпротами,"Праздничная закуска из вполне простых продуктов – домашние тарталетки из лаваша с начинкой из яйца, солёных огурцов и шпрот. Великолепный вариант для случаев ""гости на пороге"" – ведь и сами такие необычные тарталетки, и начинку для них можно приготовить меньше, чем за полчаса. Румяная, хрустящая основа и нежная яичная начинка с огурчиками и рыбкой – просто идеальное сочетание. Такую закуску сметут со стола в первую очередь!лаваш, яйца, шпроты консервированные, огурцы консервированные, майонез, соль, перец чёрный молотый, листья салата",https://img1.russianfood.com/dycontent/images_upl/565/sm_564698.jpg
176,Картофельная запеканка с сельдью,"Селёдка с картошкой хороша не только в традиционной подаче. За счёт сметанно-яичной заливки картофель быстро пропечётся, и слои из картофеля, лука и сельди превратятся в целостное блюдо – сочную и очень вкусную запеканку!картофель, сельдь соленая, лук репчатый, сметана, яйца, хмели-сунели, куркума молотая, соль, масло растительное",https://img1.russianfood.com/dycontent/images_upl/582/sm_581606.jpg
177,Каша рисовая с тыквой в мультиварке,"Особенно вкусная и полезная каша. Даже если вы не любите тыкву, то в этом рецепте вы откроете для себя ее вкусовые качества. Это отличный постный завтрак. Это шикарный гарнир к мясу и рыбе.рис, лук репчатый, морковь, тыква, масло растительное, соль, специи",https://img1.russianfood.com/dycontent/images_upl/63/sm_62524.jpg
178,"Жареная картошка с ""мексиканской смесью""","Картофель, жаренный со смесью замороженных овощей, - отличный гарнир к мясу или сытное, яркое и ароматное самостоятельное блюдо для постного меню. В качестве овощной смеси прекрасно подойдёт мексиканская, которая включает морковь, сладкий перец, кукурузу, стручковую фасоль,  зелёный горошек и сельдерей. С таким овощным набором жареная картошечка только выигрывает как по вкусу, так и внешне - в тарелке блюдо смотрится ярко и очень аппетитно!картофель, смесь овощная, порошок чесночный, травы сухие итальянские, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/499/sm_498707.jpg
179,Сосиски в воздушном тесте,"Всего полчаса - и очень оригинальный завтрак из самых простых продуктов будет на столе! Это вариация на тему британского блюда ""жабки в норке"", где тесто красиво растрескивается во время выпечки, образуя воздушные корзиночки вокруг начинки.сосиски, мука пшеничная, яйца, молоко, масло растительное, соль",https://img1.russianfood.com/dycontent/images_upl/348/sm_347361.jpg
